ticker,strategy_type,timeframe,allowshort,method,optim_params,rank,composite_score,params,IS_start,IS_end,OOS_start,OOS_end,FULL_start,FULL_end,IS_Количество сигналов,IS_Количество сделок,IS_Прибыльных сделок,IS_Убыточных сделок,IS_Процент прибыльных сделок,IS_Средняя прибыль,IS_Средний убыток,IS_Среднее время удержания (дней),IS_Среднее время удержания (часов),IS_Макс. просадка (%),IS_Макс. прибыль по сделке,IS_Макс. убыток по сделке,IS_Процент роста,IS_Sharpe,IS_Sortino,IS_Std. return,IS_Reward/Risk,OOS_Количество сигналов,OOS_Количество сделок,OOS_Прибыльных сделок,OOS_Убыточных сделок,OOS_Процент прибыльных сделок,OOS_Средняя прибыль,OOS_Средний убыток,OOS_Среднее время удержания (дней),OOS_Среднее время удержания (часов),OOS_Макс. просадка (%),OOS_Макс. прибыль по сделке,OOS_Макс. убыток по сделке,OOS_Процент роста,OOS_Sharpe,OOS_Sortino,OOS_Std. return,OOS_Reward/Risk,FULL_Количество сигналов,FULL_Количество сделок,FULL_Прибыльных сделок,FULL_Убыточных сделок,FULL_Процент прибыльных сделок,FULL_Средняя прибыль,FULL_Средний убыток,FULL_Среднее время удержания (дней),FULL_Среднее время удержания (часов),FULL_Макс. просадка (%),FULL_Макс. прибыль по сделке,FULL_Макс. убыток по сделке,FULL_Процент роста,FULL_Sharpe,FULL_Sortino,FULL_Std. return,FULL_Reward/Risk
GAZP,harami,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",1,0.055,"{""doji_tol"":0.13,""wick_body_ratio"":2.4,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,30,5,2,3,40.0,104602.92,-244699.72,592.2,,69.92,127396.35999999991,-621034.3800000001,-52.49,-0.07,-0.07,0.0188,-0.0,6,2,1,1,50.0,3407.75,-18478.8,149.5,,19.92,3407.7499999999413,-18478.799999999883,-1.51,0.05,0.07,0.0121,0.0,36,6,2,4,33.33,104602.92,-191422.6,569.83,,69.92,127396.35999999991,-621034.3800000001,-55.65,-0.06,-0.07,0.0188,-0.0
GAZP,harami,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",2,0.055,"{""doji_tol"":0.12,""wick_body_ratio"":3.5,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,30,5,2,3,40.0,104602.92,-244699.72,592.2,,69.92,127396.35999999991,-621034.3800000001,-52.49,-0.07,-0.07,0.0188,-0.0,6,2,1,1,50.0,3407.75,-18478.8,149.5,,19.92,3407.7499999999413,-18478.799999999883,-1.51,0.05,0.07,0.0121,0.0,36,6,2,4,33.33,104602.92,-191422.6,569.83,,69.92,127396.35999999991,-621034.3800000001,-55.65,-0.06,-0.07,0.0188,-0.0
GAZP,harami,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",3,0.055,"{""doji_tol"":0.18,""wick_body_ratio"":1.5,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,30,5,2,3,40.0,104602.92,-244699.72,592.2,,69.92,127396.35999999991,-621034.3800000001,-52.49,-0.07,-0.07,0.0188,-0.0,6,2,1,1,50.0,3407.75,-18478.8,149.5,,19.92,3407.7499999999413,-18478.799999999883,-1.51,0.05,0.07,0.0121,0.0,36,6,2,4,33.33,104602.92,-191422.6,569.83,,69.92,127396.35999999991,-621034.3800000001,-55.65,-0.06,-0.07,0.0188,-0.0
GAZP,harami,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",4,0.055,"{""doji_tol"":0.14,""wick_body_ratio"":1.9,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,30,5,2,3,40.0,104602.92,-244699.72,592.2,,69.92,127396.35999999991,-621034.3800000001,-52.49,-0.07,-0.07,0.0188,-0.0,6,2,1,1,50.0,3407.75,-18478.8,149.5,,19.92,3407.7499999999413,-18478.799999999883,-1.51,0.05,0.07,0.0121,0.0,36,6,2,4,33.33,104602.92,-191422.6,569.83,,69.92,127396.35999999991,-621034.3800000001,-55.65,-0.06,-0.07,0.0188,-0.0
GAZP,harami,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",5,0.055,"{""doji_tol"":0.16,""wick_body_ratio"":1.7,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,30,5,2,3,40.0,104602.92,-244699.72,592.2,,69.92,127396.35999999991,-621034.3800000001,-52.49,-0.07,-0.07,0.0188,-0.0,6,2,1,1,50.0,3407.75,-18478.8,149.5,,19.92,3407.7499999999413,-18478.799999999883,-1.51,0.05,0.07,0.0121,0.0,36,6,2,4,33.33,104602.92,-191422.6,569.83,,69.92,127396.35999999991,-621034.3800000001,-55.65,-0.06,-0.07,0.0188,-0.0
VKCO,harami,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",1,0.169,"{""doji_tol"":0.09,""wick_body_ratio"":3.4000000000000004,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,7,1,0,1,0.0,0.0,-661788.2,1105.0,,74.24,-661788.2000000001,-661788.2000000001,-66.18,-0.19,-0.29,0.0452,-0.01,4,1,0,1,0.0,0.0,-194779.2,426.0,,31.75,-194779.1999999999,-194779.1999999999,-19.48,-0.26,-0.39,0.02,-0.02,11,1,0,1,0.0,0.0,-708595.5,1580.0,,74.24,-708595.5,-708595.5,-70.86,-0.16,-0.24,0.0384,-0.01
VKCO,harami,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",2,0.169,"{""doji_tol"":0.18,""wick_body_ratio"":2.0,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,7,1,0,1,0.0,0.0,-661788.2,1105.0,,74.24,-661788.2000000001,-661788.2000000001,-66.18,-0.19,-0.29,0.0452,-0.01,4,1,0,1,0.0,0.0,-194779.2,426.0,,31.75,-194779.1999999999,-194779.1999999999,-19.48,-0.26,-0.39,0.02,-0.02,11,1,0,1,0.0,0.0,-708595.5,1580.0,,74.24,-708595.5,-708595.5,-70.86,-0.16,-0.24,0.0384,-0.01
VKCO,harami,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",3,0.169,"{""doji_tol"":0.09,""wick_body_ratio"":2.9000000000000004,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,7,1,0,1,0.0,0.0,-661788.2,1105.0,,74.24,-661788.2000000001,-661788.2000000001,-66.18,-0.19,-0.29,0.0452,-0.01,4,1,0,1,0.0,0.0,-194779.2,426.0,,31.75,-194779.1999999999,-194779.1999999999,-19.48,-0.26,-0.39,0.02,-0.02,11,1,0,1,0.0,0.0,-708595.5,1580.0,,74.24,-708595.5,-708595.5,-70.86,-0.16,-0.24,0.0384,-0.01
VKCO,harami,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",4,0.169,"{""doji_tol"":0.11,""wick_body_ratio"":2.7,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,7,1,0,1,0.0,0.0,-661788.2,1105.0,,74.24,-661788.2000000001,-661788.2000000001,-66.18,-0.19,-0.29,0.0452,-0.01,4,1,0,1,0.0,0.0,-194779.2,426.0,,31.75,-194779.1999999999,-194779.1999999999,-19.48,-0.26,-0.39,0.02,-0.02,11,1,0,1,0.0,0.0,-708595.5,1580.0,,74.24,-708595.5,-708595.5,-70.86,-0.16,-0.24,0.0384,-0.01
VKCO,harami,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",5,0.169,"{""doji_tol"":0.18,""wick_body_ratio"":1.8,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,7,1,0,1,0.0,0.0,-661788.2,1105.0,,74.24,-661788.2000000001,-661788.2000000001,-66.18,-0.19,-0.29,0.0452,-0.01,4,1,0,1,0.0,0.0,-194779.2,426.0,,31.75,-194779.1999999999,-194779.1999999999,-19.48,-0.26,-0.39,0.02,-0.02,11,1,0,1,0.0,0.0,-708595.5,1580.0,,74.24,-708595.5,-708595.5,-70.86,-0.16,-0.24,0.0384,-0.01
LKOH,harami,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",1,1.052,"{""doji_tol"":0.13,""wick_body_ratio"":2.4,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,25,6,5,1,83.33,283955.08,-265984.0,207.5,,52.31,972823.5,-265984.0,115.38,0.48,0.33,0.0115,0.01,10,1,0,1,0.0,0.0,-167552.0,318.0,,26.11,-167552.0,-167552.0,-16.76,-0.44,-0.5,0.0129,-0.02,35,7,5,2,71.43,283955.08,-314144.0,223.29,,52.31,972823.5,-362304.0,79.15,0.34,0.26,0.0117,0.01
LKOH,harami,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",2,1.052,"{""doji_tol"":0.12,""wick_body_ratio"":3.5,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,25,6,5,1,83.33,283955.08,-265984.0,207.5,,52.31,972823.5,-265984.0,115.38,0.48,0.33,0.0115,0.01,10,1,0,1,0.0,0.0,-167552.0,318.0,,26.11,-167552.0,-167552.0,-16.76,-0.44,-0.5,0.0129,-0.02,35,7,5,2,71.43,283955.08,-314144.0,223.29,,52.31,972823.5,-362304.0,79.15,0.34,0.26,0.0117,0.01
LKOH,harami,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",3,1.052,"{""doji_tol"":0.18,""wick_body_ratio"":1.5,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,25,6,5,1,83.33,283955.08,-265984.0,207.5,,52.31,972823.5,-265984.0,115.38,0.48,0.33,0.0115,0.01,10,1,0,1,0.0,0.0,-167552.0,318.0,,26.11,-167552.0,-167552.0,-16.76,-0.44,-0.5,0.0129,-0.02,35,7,5,2,71.43,283955.08,-314144.0,223.29,,52.31,972823.5,-362304.0,79.15,0.34,0.26,0.0117,0.01
LKOH,harami,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",4,1.052,"{""doji_tol"":0.14,""wick_body_ratio"":1.9,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,25,6,5,1,83.33,283955.08,-265984.0,207.5,,52.31,972823.5,-265984.0,115.38,0.48,0.33,0.0115,0.01,10,1,0,1,0.0,0.0,-167552.0,318.0,,26.11,-167552.0,-167552.0,-16.76,-0.44,-0.5,0.0129,-0.02,35,7,5,2,71.43,283955.08,-314144.0,223.29,,52.31,972823.5,-362304.0,79.15,0.34,0.26,0.0117,0.01
LKOH,harami,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",5,1.052,"{""doji_tol"":0.16,""wick_body_ratio"":1.7,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,25,6,5,1,83.33,283955.08,-265984.0,207.5,,52.31,972823.5,-265984.0,115.38,0.48,0.33,0.0115,0.01,10,1,0,1,0.0,0.0,-167552.0,318.0,,26.11,-167552.0,-167552.0,-16.76,-0.44,-0.5,0.0129,-0.02,35,7,5,2,71.43,283955.08,-314144.0,223.29,,52.31,972823.5,-362304.0,79.15,0.34,0.26,0.0117,0.01
AFKS,harami,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",1,0.145,"{""doji_tol"":0.09,""wick_body_ratio"":3.4000000000000004,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,20,9,7,2,77.78,187024.66,-448319.65,444.11,,87.48,694877.76,-620754.7969999999,41.25,0.31,0.41,0.0348,0.01,6,1,0,1,0.0,0.0,-185170.17,339.0,,29.57,-185170.17,-185170.17,-18.52,-0.39,-0.48,0.0154,-0.02,26,10,7,3,70.0,190898.13,-387739.59,447.2,,87.48,694877.76,-620754.7969999999,17.31,0.26,0.35,0.0331,0.01
AFKS,harami,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",2,0.145,"{""doji_tol"":0.15,""wick_body_ratio"":1.5,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,20,9,7,2,77.78,187024.66,-448319.65,444.11,,87.48,694877.76,-620754.7969999999,41.25,0.31,0.41,0.0348,0.01,6,1,0,1,0.0,0.0,-185170.17,339.0,,29.57,-185170.17,-185170.17,-18.52,-0.39,-0.48,0.0154,-0.02,26,10,7,3,70.0,190898.13,-387739.59,447.2,,87.48,694877.76,-620754.7969999999,17.31,0.26,0.35,0.0331,0.01
AFKS,harami,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",3,0.145,"{""doji_tol"":0.18,""wick_body_ratio"":3.3,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,20,9,7,2,77.78,187024.66,-448319.65,444.11,,87.48,694877.76,-620754.7969999999,41.25,0.31,0.41,0.0348,0.01,6,1,0,1,0.0,0.0,-185170.17,339.0,,29.57,-185170.17,-185170.17,-18.52,-0.39,-0.48,0.0154,-0.02,26,10,7,3,70.0,190898.13,-387739.59,447.2,,87.48,694877.76,-620754.7969999999,17.31,0.26,0.35,0.0331,0.01
